ProfileElementID,ProfileElementName,ProfileID,TableID,FieldID,FieldID,FieldName,FormatID,FieldlLength,FieldRule,IsOasisField,ProfileValueDetailID,ProfileElementID,PerilID,CoverageTypeID,ElementDimensionID,ModelCoverageTypeId,ModelId,CoverageTypeId,ModelCoverageTypeName,ModelCoverageTypeDescription,ModelPerilId,ModelId,PerilId,ModelPerilName,ModelPerilDescription
1,LocId,1,5,3,3,LocationID,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,ACCNTNUM,1,16,6,6,AccountNumber,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,LOCNUM,1,5,10,10,SourceLocationNumber,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,LATITUDE,1,5,8,8,Latitude,2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,LONGITUDE,1,5,9,9,Longitude,2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,POSTCODE,1,5,7,7,PostCode,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,ADDRMATCH,1,5,48,48,AddressMatch,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,STATE,1,5,51,51,State,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,STATECODE,1,5,29,29,StateCode,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,COUNTY,1,5,50,50,County,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,COUNTYCODE,1,5,30,30,CountyCode,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,CITY,1,5,11,11,BuildingScheme,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,CITYCODE,1,5,12,12,BuildingClass,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,COUNTRY,1,5,52,52,Country,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,CNTRYSCHEME,1,5,45,45,CountryScheme,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,CNTRYCODE,1,5,46,46,CountryCode,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,BLDGSCHEME,1,5,11,11,BuildingScheme,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,BLDGCLASS,1,5,12,12,BuildingClass,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,OCCSCHEME,1,5,13,13,OccupancyScheme,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,OCCTYPE,1,5,14,14,OccupancyType,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,NUMBLDGS,1,5,34,34,NumberBuildings,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,EQCV1VAL,1,5,2,2,TIV,2,NULL,NULL,1,2,22,1,1,1,1,1,1,1,Buildings,1,1,3,3,Quake
23,EQCV1VCUR,1,5,47,47,Currency,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,EQCV1DED,1,14,16,16,CoverageDeductible,2,NULL,NULL,1,3,24,1,1,1,1,1,1,1,Buildings,1,1,3,3,Quake
25,EQCV1DCUR,1,14,47,47,Currency,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,EQCV1LIMIT,1,14,15,15,CoverageLimit,2,NULL,NULL,1,4,26,1,1,1,1,1,1,1,Buildings,1,1,3,3,Quake
27,EQCV1LCUR,1,14,47,47,Currency,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,EQCV2VAL,1,5,2,2,TIV,2,NULL,NULL,1,5,28,1,2,2,2,1,3,3,Contents,1,1,3,3,Quake
29,EQCV2VCUR,1,5,47,47,Currency,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,EQCV2DED,1,14,16,16,CoverageDeductible,2,NULL,NULL,1,6,30,1,2,2,2,1,3,3,Contents,1,1,3,3,Quake
31,EQCV2DCUR,1,14,47,47,Currency,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,EQCV2LIMIT,1,14,15,15,CoverageLimit,2,NULL,NULL,1,7,32,1,2,2,2,1,3,3,Contents,1,1,3,3,Quake
33,EQCV2LCUR,1,14,47,47,Currency,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,EQSITELIM,1,14,17,17,SiteLimit,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,EQSITELCUR,1,14,47,47,Currency,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,EQSITEDED,1,14,18,18,SiteDeductible,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,EQSITEDCUR,1,14,47,47,Currency,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,EQCOMBINEDLIM,1,14,19,19,CombinedLimit,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,EQCOMBINEDLCUR,1,14,47,47,Currency,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,EQCOMBINEDDED,1,14,20,20,CombinedDeductible,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,EQCOMBINEDDCUR,1,14,47,47,Currency,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,COND1TYPE,1,14,53,53,SubLimitType,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,COND1NAME,1,14,54,54,SubLimitReference,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,COND1LIMIT,1,14,55,55,SubLimitLimit,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,COND1DEDUCTIBLE,1,14,56,56,MinimumSubLimitDeductible,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,ROWID,2,16,1,1,RowId,2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,ACCNTNUM,2,16,6,6,AccountNumber,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,POLICYNUM,2,16,21,21,PolicyNumber,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,POLICYTYPE,2,16,22,22,PolicyType,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,UNDCOVAMT,2,20,23,23,AttachmentPoint,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,PARTOF,2,20,24,24,LayerLimit,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,MINDEDAMT,2,20,25,25,MinimumDeductible,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,MAXDEDAMT,2,20,26,26,MaximumDeductible,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,BLANDEDAMT,2,20,27,27,BlanketDeductible,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,BLANLIMAMT,2,20,28,28,BlanketLimit,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL